comparison_scope,date,run_id,subject_id,condition,target_id,target_x_deg,target_y_deg,gaze_x_deg,gaze_y_deg,marker_windows,visual_nearest_target_id,visual_target_error_deg,visual_qc_cutoff_deg,visual_qc_status
Calib & Acc,2025_04_12,020,RB76,Calib & Acc,4,9.600000000000001,5.7375,9.511668638861138,9.75021993881119,3,4,4.013692033115337,6.4998798415524215,included
Calib & Acc,2025_04_12,020,RB76,Calib & Acc,5,0.0,-0.0,-0.03191765530205918,0.7984270449884644,3,5,0.7990647551287645,9.086495530431277,included
Calib & Acc,2025_04_12,020,RB76,Calib & Acc,6,-10.2,-5.400000000000001,-9.775455266348857,-4.309448799917491,3,6,1.1702735367734856,4.963861704206112,included
Calib & Acc,2025_04_12,020,RB76,Calib & Acc,7,9.600000000000001,-5.400000000000001,9.126888646754281,-3.599271417562724,3,7,1.8618425766365327,6.609789983794532,included
Calib & Acc,2025_04_12,020,RB76,Calib & Acc,8,-21.0,-11.8125,-20.719528492285363,-9.238925873222541,3,8,2.5888120929604144,6.31868568380908,included
Calib & Acc,2025_04_12,020,RB76,Calib & Acc,9,21.0,-11.8125,19.826959374136504,-10.069699414979967,3,9,2.1008041767552714,7.903808475534857,included
Calib & Acc,2025_04_12,025,AW75,Calib & Acc,1,-21.0,11.8125,-19.524739211376858,11.3274069376212,3,1,1.5529680207966352,4.750563048246421,included
Calib & Acc,2025_04_12,025,AW75,Calib & Acc,2,21.0,11.8125,20.42191790507906,12.133082260552774,3,2,0.6610233689131649,5.464972727119959,included
Calib & Acc,2025_04_12,025,AW75,Calib & Acc,3,-10.2,5.7375,-10.881089577876724,4.759542835131286,3,3,1.191756363276634,5.857067376852974,included
Calib & Acc,2025_04_12,025,AW75,Calib & Acc,4,9.600000000000001,5.7375,11.24588661498708,7.100746984763433,3,4,2.137144143678712,6.4998798415524215,included
Calib & Acc,2025_04_12,025,AW75,Calib & Acc,5,0.0,-0.0,-2.4356502673166127,-7.327555911308868,3,5,7.721752900607285,9.086495530431277,included
Calib & Acc,2025_04_12,025,AW75,Calib & Acc,6,-10.2,-5.400000000000001,-12.706153846153846,-14.091637500000001,1,8,9.045737644437736,4.963861704206112,target_mismatch
Calib & Acc,2025_04_12,025,AW75,Calib & Acc,7,9.600000000000001,-5.400000000000001,7.765102526484964,-9.06068083070081,3,7,4.094805597653231,6.609789983794532,included
Calib & Acc,2025_04_12,025,AW75,Calib & Acc,9,21.0,-11.8125,21.25010717126847,-8.728648790392823,3,9,3.0939767096918436,7.903808475534857,included
Calib & Acc,2025_04_12,026,JH71,Calib & Acc,1,-21.0,11.8125,-20.81976307168784,9.564155123071687,3,1,2.255557588698899,4.750563048246421,included
Calib & Acc,2025_04_12,026,JH71,Calib & Acc,2,21.0,11.8125,21.22098948514555,13.559728151799746,3,2,1.7611480820721612,5.464972727119959,included
Calib & Acc,2025_04_12,026,JH71,Calib & Acc,3,-10.2,5.7375,-11.423388483893559,8.30103324579832,3,3,2.840489761438449,5.857067376852974,included
Calib & Acc,2025_04_12,026,JH71,Calib & Acc,4,9.600000000000001,5.7375,10.501582424242423,8.635934931220097,3,4,3.035420221027015,6.4998798415524215,included
Calib & Acc,2025_04_12,026,JH71,Calib & Acc,5,0.0,-0.0,-0.7523157082452431,2.657529116203564,3,5,2.761963057019814,9.086495530431277,included
Calib & Acc,2025_04_12,026,JH71,Calib & Acc,6,-10.2,-5.400000000000001,-11.585802118811882,-4.052164619740099,3,6,1.933160035999053,4.963861704206112,included
